id,event_id,date,last_seen,country,event_type,certainty,disinfo_subtype,info_class,info_type,threat_level,headline,summary,escalation_outcome,actors,platforms,spread,disinfo_confidence,detection_method,data_source,observation_count,status,content_observed,last_observation,source_urls,source_publishers,narrative_families
research_som-2029,research_som-2029,2026-03-17,2026-03-17,Somalia,CONTEXT,Context Event,,OBSERVED,PROPAGANDA,P2 HIGH,Al-Shabaab records heaviest reporting cycle of the week via Shahada News — 20 statements claiming 31 attacks plus internal security audio,"Shahada News Agency released 20 statements claiming responsibility for 31 attacks across multiple Somali regions with cross-border Kenya activity. Accompanied by 15-min audio address by Abu Abdur-Rahman Warsame on espionage and internal discipline. Propaganda output described as 'high propaganda density' showing 'mature, diversified propaganda environment.'",,"['Shahada News Agency', 'Abu Abdur-Rahman Warsame']","['Telegram', 'Web']",3,,iris_meta_monitoring,Catalogue,0,active,False,,https://www.danielegarofalomonitoring.com/p/intelligence-brief-eyes-on-jihadism-6f9,https://www.danielegarofalomonitoring.com/p/intelligence-brief-eyes-on-jihadism-6f9,
APF-2026-03-16-068,APF-2026-03-16-068,2026-03-16,2026-03-16,Kenya,CONFIRMED,Confirmed Disinformation,coordinated_campaign,CORROBORATED,DISINFO,P2 HIGH,#43Against1 campaign claims Kikuyu leadership is 'tribalist' and 'divisive' while promoting Ruto government as unifying — coordinated troll network active on X,"A coordinated troll network on X is amplifying the #43Against1 hashtag, falsely portraying Deputy President Rigathi Gachagua and Kikuyu leadership as 'tribalist' and divisive while promoting President Ruto's government as unifying for Kenya's 43 tribes. The campaign uses identical messaging patterns and coordinated accounts to push ethnic polarization narratives.",,"['Kenya troll network (coordinated)', '@IamMzalendo', '@AminaTisha94086', '@MteteziPato', '@NaekuMercy', '@ObinnaWaGikomba', '@TariqKwame', '@D_KKinuthia', '@ToonchiArts', '@Mastermastin_GO']",['X (Twitter)'],5.0,HIGH,iris_direct_tracking,Catalogue,0,active,True,,https://x.com/noormuktar99/status/1929647018261061920,https://x.com/noormuktar99/status/1929647018261061920,Misinformation/Disinformation; Ethnic Incitement; Delegitimization
research_som-2028,research_som-2028,2026-03-16,2026-03-16,Somalia,CONTEXT,Context Event,,OBSERVED,DISINFO,P2 HIGH,Calamada publishes al-Shabaab mortar attack claims on Xalane compound in Mogadishu,"Calamada, a known extremist media outlet, published propaganda content on March 16 claiming al-Shabaab conducted mortar attacks on the Xalane military compound in Mogadishu and other military targets across Baay, Hiiraan, and Banaadir regions. This represents standard terrorist group propaganda dissemination through affiliated media channels.",,['Calamada'],['Web (calamada1.com)'],3,MEDIUM,iris_direct_tracking,Catalogue,0,active,False,,https://calamada1.com,https://calamada1.com,
MON-2026-03-16-007,MON-2026-03-16-007,2026-03-16,2026-03-16,South Sudan,CONTEXT,Context Event,,OBSERVED,PROPAGANDA,P2 HIGH,PCCA demands parliament subject President Kiir to mental and physical examination,"The People's Coalition for Civil Action (PCCA) has demanded parliament subject President Salva Kiir to mental and physical fitness examinations. This unprecedented challenge to presidential authority occurs during the active Akobo military crisis, representing significant political destabilization.",,"['PCCA', 'President Salva Kiir', 'South Sudan Parliament']",['Radio Tamazuj'],1.0,,iris_meta_monitoring,Catalogue,0,active,False,,https://www.radiotamazuj.org/en/news,https://www.radiotamazuj.org/en/news,Delegitimization; Anti-Government Narrative
SOM-2026-009,SOM-2026-009,2026-03-15,2026-03-15,Somalia,CONTEXT,Context Event,,OBSERVED,CONTEXT,P3 MODERATE,"NISA kills 22 Al-Shabaab militants in Hiiraan and Mudug operations on March 15, 2026","NISA killed at least 22 al-Shabaab fighters including several senior commanders in two operations in central Somalia. Operation 1 (Dumaaye, Mudug): 15 killed including commanders Xudeyfa Galinle, Qataatow, Abdirahman Garwayne, Daahir, and Abdiwali. Operation 2 (Hiran): 7 killed including two key financial network figures Qaliif Mumin Sabriya and Osman Abdulle Farah; targeted houses guarding Mustafa Caato. Vehicles destroyed. Operations part of intensified campaign to dismantle militant networks in central regions. Strongest signal: Lethality (L) — 22 killed including named senior operational and financial commanders represents significant degradation of al-Shabaab command structure.",,"['NISA', 'International security partners', 'Al-Shabaab', 'Xudeyfa Galinle (killed)', 'Qataatow (killed)', 'Abdirahman Garwayne (killed)', 'Qaliif Mumin Sabriya (financial, killed)', 'Osman Abdulle Farah (financial, killed)', 'Mustafa Caato (targeted)']","['CGTN Africa', 'Social media']",2.0,,iris_meta_monitoring,Catalogue,0,active,False,,https://www.facebook.com/cgtnafrica/posts/22-al-shabaab-militants-were-killed-in-operations-carried-out-in-the-hiran-and-m/1404776375022076/; https://www.garoweonline.com/en/news/somalia/somalia-nisa-forces-kill-key-al-shabaab-commanders-in-central-regions,https://www.facebook.com/cgtnafrica/posts/22-al-shabaab-militants-were-killed-in-operations-carried-out-in-the-hiran-and-m/1404776375022076/; https://www.garoweonline.com/en/news/somalia/somalia-nisa-forces-kill-key-al-shabaab-commanders-in-central-regions,Counter-Narrative Response; Attack Claim
MON-2026-03-15-001,MON-2026-03-15-001,2026-03-15,2026-03-15,South Sudan,CONTEXT,Context Event,,OBSERVED,CONTEXT,P1 CRITICAL,Jonglei/Akobo: military evacuation order + active SSPDF–SPLA-IO fighting; aid agencies suspend operations amid 280k+ displaced,"Military evacuation orders issued in Jonglei/Akobo region amid active fighting between SSPDF and SPLA-IO forces. Aid agencies have suspended operations as displacement exceeds 280,000 people, creating a major humanitarian crisis.",,[],[],0.0,,iris_meta_monitoring,Catalogue,0,active,False,,https://www.radiotamazuj.org/en/news/article/mass-suffering-after-violence-forces-aid-agencies-to-withdraw-from-jonglei; https://www.radiotamazuj.org/en/news/article/sspdf-spla-io-battle-for-control-of-akobo,https://www.radiotamazuj.org/en/news/article/mass-suffering-after-violence-forces-aid-agencies-to-withdraw-from-jonglei; https://www.radiotamazuj.org/en/news/article/sspdf-spla-io-battle-for-control-of-akobo,Victimhood/Grievance; Existential Threat
MON-2026-03-16-004,MON-2026-03-16-004,2026-03-15,2026-03-15,South Sudan,CONTEXT,Context Event,,OBSERVED,HATE_SPEECH,P1 CRITICAL,SSPDF deploys troops in Akobo for first time since 2013; ~100K fled to Ethiopia; 99 wells destroyed,"Radio Tamazuj reports (March 15) that SSPDF physically deployed troops with vehicles and military equipment into Akobo town on Sunday, marking the first government control since civil war erupted in December 2013. County Commissioner James Kueth Makuach ordered armed residents to keep weapons at home and 'move freely in a civilian manner,' warning defiers would be 'held individually accountable.' ReliefWeb Flash Update No. 12 (March 13) confirms ~100,000 individuals crossed into Ethiopia since the March 6 SSPDF evacuation order. 99 wells in Akobo reportedly destroyed or contaminated. Akobo Hospital vacant. 7 of 15 health facilities non-operational. No humanitarian assistance has reached displaced populations. Strongest signal: Reach (R) — 100,000+ cross-border displacement affecting two countries, with total humanitarian access collapse.",,"['SSPDF', 'SPLA-IO', 'Akobo County Commissioner James Kueth Makuach']","['Radio Tamazuj', 'ReliefWeb']",2.0,,iris_meta_monitoring,Catalogue,0,active,False,,https://www.radiotamazuj.org/en/news/article/sspdf-takes-control-of-akobo-town; https://reliefweb.int/report/south-sudan/south-sudan-conflict-jonglei-state-flash-update-no-12-13-march-2026,https://www.radiotamazuj.org/en/news/article/sspdf-takes-control-of-akobo-town; https://reliefweb.int/report/south-sudan/south-sudan-conflict-jonglei-state-flash-update-no-12-13-march-2026,Existential Threat; Ethnic Incitement; Victimhood/Grievance
MON-2026-03-16-006,MON-2026-03-16-006,2026-03-14,2026-03-14,South Sudan,CONTEXT,Context Event,biased_reporting,OBSERVED,PROPAGANDA,P3 MODERATE,Radio Tamazuj publishes ethnic comparison editorial 'Dinka Kon Koch vs Nuer Wanathin' during Akobo crisis,"Radio Tamazuj published an opinion piece (March 14) comparing Dinka and Nuer ethnic cultural value systems ('Kon Koch vs. Wanathin') during peak Akobo crisis tensions. While framed as cultural analysis, publication of ethnic comparison content on a major credible media platform during active military operations targeting Nuer areas risks reinforcing ethnic binary framing. Strongest signal: Targeting (T) — directly names two ethnic groups in comparative framework during an active military crisis affecting those groups.",,"['Radio Tamazuj (publisher)', 'South Sudanese diaspora (audience)']",['Radio Tamazuj website'],1.0,MEDIUM,iris_meta_monitoring,Catalogue,0,active,False,,https://www.radiotamazuj.org/en/news,https://www.radiotamazuj.org/en/news,Ethnic Incitement; Victimhood/Grievance
MON-2026-03-16-005,MON-2026-03-16-005,2026-03-14,2026-03-14,South Sudan,CONTEXT,Context Event,,OBSERVED,CONTEXT,P1 CRITICAL,UN Flash Update: 72 humanitarian access incidents in Feb; health workers killed; airstrikes on facilities,"ReliefWeb Flash Update No. 12 (March 14) documents: 72 incidents of humanitarian access denial in February 2026 alone (134 total for Jan-Feb), with 52 incidents of violence against personnel. Humanitarian workers killed in Jonglei State. Walgang PHCC reportedly struck by airstrike; Tangang PHCC vandalized. 7 of 15 health facilities non-operational due to conflict damage. Communication networks destroyed. 267,000+ displaced across Jonglei, Lakes, Upper Nile, and Central Equatoria. MSF reports 12 security incidents against its facilities since 2024, with 3 hospital attacks in early 2026 alone. Strongest signal: Lethality (L) — health workers killed, medical facilities bombed, systematic destruction of health infrastructure constitutes collective punishment of civilians.",,"['SSPDF', 'SPLA-IO', 'UN OCHA', 'MSF', 'IOM']",['ReliefWeb'],1.0,,iris_meta_monitoring,Catalogue,0,active,False,,https://reliefweb.int/report/south-sudan/south-sudan-conflict-jonglei-state-flash-update-no-12-13-march-2026; https://www.msf.org.za/news-and-resources/latest-news/south-sudan-looming-government-offensive-forces-people-and-msf,https://reliefweb.int/report/south-sudan/south-sudan-conflict-jonglei-state-flash-update-no-12-13-march-2026; https://www.msf.org.za/news-and-resources/latest-news/south-sudan-looming-government-offensive-forces-people-and-msf,Victimhood/Grievance; Existential Threat
MON-2026-03-16-001,MON-2026-03-16-001,2026-03-13,2026-03-13,South Sudan,CONTEXT,Context Event,,OBSERVED,CONTEXT,P1 CRITICAL,Radio Tamazuj reports escalating violence in Jonglei forced Save the Children to suspend operations ,"Radio Tamazuj reports escalating violence in Jonglei forced Save the Children to suspend operations and relocate staff from Akobo East after a military order for civilians/NGOs/UN to leave; the report cites 280,000+ displaced since December and warns of serious humanitarian implications.",,[],[],0.0,,iris_meta_monitoring,Catalogue,0,active,False,,https://www.radiotamazuj.org/en/news/article/mass-suffering-after-violence-forces-aid-agencies-to-withdraw-from-jonglei,https://www.radiotamazuj.org/en/news/article/mass-suffering-after-violence-forces-aid-agencies-to-withdraw-from-jonglei,Victimhood/Grievance; Existential Threat
SSD-2026-019,SSD-2026-019,2026-03-12,2026-03-12,South Sudan,CONTEXT,Context Event,,OBSERVED,CONTEXT,P1 CRITICAL,The New Humanitarian analysis: South Sudan's power-sharing collapse is the root cause of violence and mass displacement,"The New Humanitarian published analysis attributing South Sudan's escalating violence and displacement to the collapse of the 2018 power-sharing agreement, specifically citing President Kiir's unilateral actions against Vice President Machar. The report includes testimonies from Jonglei residents and addresses delayed elections amid ongoing political crisis.",,"['The New Humanitarian', 'Political analysts', 'Jonglei residents (testimonies)']","['The New Humanitarian website', 'Social media (international)']",2.0,MEDIUM,iris_meta_monitoring,Catalogue,0,active,False,,https://www.thenewhumanitarian.org/news-feature/2026/03/12/south-sudan-power-sharing-collapse-drives-violence-mass-displacement,https://www.thenewhumanitarian.org/news-feature/2026/03/12/south-sudan-power-sharing-collapse-drives-violence-mass-displacement,Delegitimization; Existential Threat; Peace/Counter-Narratives
KEN-2026-014,KEN-2026-014,2026-03-11,2026-03-11,Kenya,CONTEXT,Context Event,,OBSERVED,INCITEMENT,P2 HIGH,Linda Mwananchi faction releases '10-Point Lies' report dismissing government reform agenda; vows to join Gen-Z on June 25 protest anniversary,"The Linda Mwananchi faction (ODM's progressive wing under Edwin Sifuna and Godfrey Osotsi) released an independent 'People's Report' dismissing the official Zani Committee assessment of the 10-Point Agenda as a 'shameful charade.' The faction vowed to join Gen-Z protesters on June 25, 2026 (second anniversary of the protests), drawing comparisons to Haiti as a warning about tolerating political violence. The faction publicly opposed the Linda Ground faction led by Oburu Oginga, deepening the ODM split with major implications for 2027 coalition dynamics.",,"['Linda Mwananchi faction (Edwin Sifuna, Godfrey Osotsi)', 'Linda Ground faction (Oburu Oginga)', 'ODM', 'Gen-Z movement', 'Ruto government']","['Facebook', 'X (Twitter)', 'Television']",3.0,,iris_meta_monitoring,Catalogue,0,active,False,,https://www.capitalfm.co.ke/news/2026/03/linda-mwananchi-faction-to-release-peoples-report-on-10-point-agenda-implementation/; https://www.tnx.africa/entertainment/article/2001542803/odm-linda-mwananchi-faction-vows-to-join-gen-zs-on-june-25-protest-anniversary; https://eastleighvoice.co.ke/politics/310274/a-shameful-charade-linda-mwananchi-leaders-dismiss-10-point-agenda-report-released-at-kicc,https://www.capitalfm.co.ke/news/2026/03/linda-mwananchi-faction-to-release-peoples-report-on-10-point-agenda-implementation/; https://www.tnx.africa/entertainment/article/2001542803/odm-linda-mwananchi-faction-vows-to-join-gen-zs-on-june-25-protest-anniversary; https://eastleighvoice.co.ke/politics/310274/a-shameful-charade-linda-mwananchi-leaders-dismiss-10-point-agenda-report-released-at-kicc,Victimhood/Grievance; Delegitimization; Revenge/Retribution
SOM-2026-008,SOM-2026-008,2026-03-11,2026-03-11,Somalia,CONTEXT,Context Event,,OBSERVED,PROPAGANDA,P3 MODERATE,"AFRICOM strikes Al-Shabaab at Xawaadleey, ~60km north of Mogadishu, on March 11, 2026","AFRICOM conducted an airstrike targeting al-Shabaab on March 11, 2026, in the vicinity of Xawaadleey approximately 60km north of Mogadishu. The strike targeted al-Shabaab positions as the group continued to maintain pressure near the capital. The strike was part of the continued 2026 escalation with multiple strikes against both al-Shabaab and ISIS-Somalia across different regions of Somalia.",,"['U.S. AFRICOM', 'Al-Shabaab', 'Somali Federal Government']","['AFRICOM press releases', 'Wire services']",2.0,,iris_meta_monitoring,Catalogue,0,active,False,,https://www.africom.mil/pressrelease/36290/us-forces-conduct-strike-targeting-al-shabaab,https://www.africom.mil/pressrelease/36290/us-forces-conduct-strike-targeting-al-shabaab,Counter-Narrative Response; Anti-Government Narrative
MON-2026-03-16-003,MON-2026-03-16-003,2026-03-11,2026-03-11,South Sudan,CONTEXT,Context Event,,OBSERVED,CONTEXT,P3 MODERATE,"Radio Tamazuj reports Pigi County received 5,403 households (~32,418 people) displaced from Nyirol a","Radio Tamazuj reports Pigi County received 5,403 households (~32,418 people) displaced from Nyirol and Uror, with reported severe shortages of shelter, food, clothing, and health services.",,[],[],0.0,,iris_meta_monitoring,Catalogue,0,active,False,,https://www.radiotamazuj.org/en/news/article/displaced-families-in-pigi-struggle-for-food-shelter,https://www.radiotamazuj.org/en/news/article/displaced-families-in-pigi-struggle-for-food-shelter,Victimhood/Grievance
GAP-2026-001,GAP-2026-001,2026-03-10,2026-03-10,Kenya,CONTEXT,Context Event,,OBSERVED,PROPAGANDA,P3 MODERATE,Kenya ICT CS Kabogo Presses TikTok for Misinformation Safeguards Ahead of 2027 Elections at Safer Internet Summit,"According to The Star and Kenyans.co.ke, Kenya's ICT Cabinet Secretary William Kabogo officially opened the TikTok Safer Internet Summit 2026 in Nairobi on March 10, 2026, using the occasion to demand clear assurances from TikTok on its tools to detect and counter misinformation and coordinated disinformation campaigns ahead of the 2027 general elections. According to reporting, Kabogo called on TikTok to align its operations with Kenya's regulatory framework including the Data Protection Act, strengthen content moderation, introduce stricter age-verification, and expand operations in local African languages. The summit — themed '#SaferTogether: Innovation and Safety' — was the third annual Sub-Saharan Africa Government Safer Internet Summit and brought together policymakers, regulators, technology leaders, and civil society from across the region.",,"['William Kabogo (ICT Cabinet Secretary, Kenya)', 'TikTok', 'Kenya Ministry of Information, Communications and Digital Economy', 'Ambassador Philip Thigo (Special Envoy on Technology)']",['TikTok'],1.0,HIGH,iris_meta_monitoring,Catalogue,0,active,False,,https://www.the-star.co.ke/news/2026-03-10-kabogo-pushes-tiktok-to-tackle-misinformation-ahead-of-2027-polls; https://www.kenyans.co.ke/news/121519-kabogo-seeks-assurances-tiktok-curb-misinformation-ahead-2027-elections; https://newsroom.tiktok.com/tiktok-hosted-the-third-annual-government-safer-internet-summit-in-nairobi-kenya,https://www.the-star.co.ke/news/2026-03-10-kabogo-pushes-tiktok-to-tackle-misinformation-ahead-of-2027-polls; https://www.kenyans.co.ke/news/121519-kabogo-seeks-assurances-tiktok-curb-misinformation-ahead-2027-elections; https://newsroom.tiktok.com/tiktok-hosted-the-third-annual-government-safer-internet-summit-in-nairobi-kenya,Platform Governance; Misinformation/Disinformation; Foreign Influence Operation; Social Media Expansion
KEN-2026-013,KEN-2026-013,2026-03-10,2026-03-10,Kenya,CONTEXT,Context Event,,OBSERVED,DISINFO,P3 MODERATE,Kenya moves to criminalize AI deepfakes and political disinformation with fines up to KSh 5 million,"Kenya is reportedly developing legislation to criminalize AI-generated political deepfakes and disinformation, with penalties up to KSh 5 million in fines and potential imprisonment. This comes as President Ruto called for politicians to abandon ethnic politics ahead of 2027 elections amid documented increases in deepfake political content.",,"['Kenya Parliament', 'President Ruto', 'Digital rights advocates', 'Political operatives']","['Facebook', 'X (Twitter)', 'TikTok']",3.0,MEDIUM,iris_meta_monitoring,Catalogue,0,active,False,,https://www.facebook.com/DMarigiri/posts/update-kenyans-who-use-ai-to-create-fake-news-deepfakes-or-misleading-political-/1451061306677003/,https://www.facebook.com/DMarigiri/posts/update-kenyans-who-use-ai-to-create-fake-news-deepfakes-or-misleading-political-/1451061306677003/,Misinformation/Disinformation; Delegitimization
EXT-2026-006,EXT-2026-006,2026-03-10,2026-03-10,Regional,CONTEXT,Context Event,,OBSERVED,CONTEXT,P2 HIGH,"TikTok Announces $200,000 AI Media Literacy Investment at Nairobi Safer Internet Summit Amid Pressure on Africa Moderation","TikTok announced a $200,000 investment in AI media literacy programs at its Nairobi Safer Internet Summit, bringing total Sub-Saharan Africa investment to $2.2 million. The announcement came amid mounting pressure from South African authorities demanding stronger action against misinformation on the platform.",,"['TikTok/ByteDance', 'South African government', 'Civil society organizations (grantees)']",['TikTok'],1.0,MEDIUM,iris_meta_monitoring,Catalogue,0,active,False,,https://ground.news/article/tiktok-announces-additional-200-000-investment-in-ai-media-literacy-for-sub-saharan-africa,https://ground.news/article/tiktok-announces-additional-200-000-investment-in-ai-media-literacy-for-sub-saharan-africa,TikTok Africa Media Literacy Gap; Platform Governance
